"Cluster Name", "Namespace", "Deployment", "Image", "Image Created"
salsa-cluster,sonarqube-vulnerable,sonarqube,docker.io/library/sonarqube:8.2-community,2020-04-24T00:19:12.031245017Z
salsa-cluster,openshift-storage,rook-ceph-exporter-rhsvc3.redhat.com,registry.redhat.io/rhceph/rhceph-6-rhel9@sha256:c71ef5364d03d3335d5f868e1b720b9a0dcc205e80a44e729d66f645abf2a6a8,2024-04-16T20:00:03.700266981Z
salsa-cluster,openshift-storage,rook-ceph-mon-b,registry.redhat.io/rhceph/rhceph-6-rhel9@sha256:c71ef5364d03d3335d5f868e1b720b9a0dcc205e80a44e729d66f645abf2a6a8,2024-04-16T20:00:03.700266981Z
salsa-cluster,openshift-storage,rook-ceph-exporter-rhsvc1.redhat.com,registry.redhat.io/rhceph/rhceph-6-rhel9@sha256:c71ef5364d03d3335d5f868e1b720b9a0dcc205e80a44e729d66f645abf2a6a8,2024-04-16T20:00:03.700266981Z
salsa-cluster,openshift-storage,rook-ceph-mon-a,registry.redhat.io/rhceph/rhceph-6-rhel9@sha256:c71ef5364d03d3335d5f868e1b720b9a0dcc205e80a44e729d66f645abf2a6a8,2024-04-16T20:00:03.700266981Z
salsa-cluster,openshift-storage,rook-ceph-exporter-rhsvc2.redhat.com,registry.redhat.io/rhceph/rhceph-6-rhel9@sha256:c71ef5364d03d3335d5f868e1b720b9a0dcc205e80a44e729d66f645abf2a6a8,2024-04-16T20:00:03.700266981Z
salsa-cluster,openshift-storage,rook-ceph-mon-c,registry.redhat.io/rhceph/rhceph-6-rhel9@sha256:c71ef5364d03d3335d5f868e1b720b9a0dcc205e80a44e729d66f645abf2a6a8,2024-04-16T20:00:03.700266981Z
salsa-cluster,openshift-storage,rook-ceph-rgw-ocs-storagecluster-cephobjectstore-a,registry.redhat.io/rhceph/rhceph-6-rhel9@sha256:c71ef5364d03d3335d5f868e1b720b9a0dcc205e80a44e729d66f645abf2a6a8,2024-04-16T20:00:03.700266981Z
salsa-cluster,openshift-storage,rook-ceph-mgr-a,registry.redhat.io/rhceph/rhceph-6-rhel9@sha256:c71ef5364d03d3335d5f868e1b720b9a0dcc205e80a44e729d66f645abf2a6a8,2024-04-16T20:00:03.700266981Z
salsa-cluster,openshift-storage,rook-ceph-mgr-b,registry.redhat.io/rhceph/rhceph-6-rhel9@sha256:c71ef5364d03d3335d5f868e1b720b9a0dcc205e80a44e729d66f645abf2a6a8,2024-04-16T20:00:03.700266981Z
salsa-cluster,openshift-storage,rook-ceph-mds-ocs-storagecluster-cephfilesystem-b,registry.redhat.io/rhceph/rhceph-6-rhel9@sha256:c71ef5364d03d3335d5f868e1b720b9a0dcc205e80a44e729d66f645abf2a6a8,2024-04-16T20:00:03.700266981Z
salsa-cluster,openshift-storage,rook-ceph-mds-ocs-storagecluster-cephfilesystem-a,registry.redhat.io/rhceph/rhceph-6-rhel9@sha256:c71ef5364d03d3335d5f868e1b720b9a0dcc205e80a44e729d66f645abf2a6a8,2024-04-16T20:00:03.700266981Z
salsa-cluster,openshift-storage,rook-ceph-crashcollector-rhsvc2.redhat.com,registry.redhat.io/rhceph/rhceph-6-rhel9@sha256:c71ef5364d03d3335d5f868e1b720b9a0dcc205e80a44e729d66f645abf2a6a8,2024-04-16T20:00:03.700266981Z
salsa-cluster,openshift-storage,rook-ceph-crashcollector-rhsvc1.redhat.com,registry.redhat.io/rhceph/rhceph-6-rhel9@sha256:c71ef5364d03d3335d5f868e1b720b9a0dcc205e80a44e729d66f645abf2a6a8,2024-04-16T20:00:03.700266981Z
salsa-cluster,openshift-storage,rook-ceph-crashcollector-rhsvc3.redhat.com,registry.redhat.io/rhceph/rhceph-6-rhel9@sha256:c71ef5364d03d3335d5f868e1b720b9a0dcc205e80a44e729d66f645abf2a6a8,2024-04-16T20:00:03.700266981Z
salsa-cluster,openshift-storage,rook-ceph-osd-0,registry.redhat.io/rhceph/rhceph-6-rhel9@sha256:c71ef5364d03d3335d5f868e1b720b9a0dcc205e80a44e729d66f645abf2a6a8,2024-04-16T20:00:03.700266981Z
salsa-cluster,openshift-storage,rook-ceph-osd-1,registry.redhat.io/rhceph/rhceph-6-rhel9@sha256:c71ef5364d03d3335d5f868e1b720b9a0dcc205e80a44e729d66f645abf2a6a8,2024-04-16T20:00:03.700266981Z
salsa-cluster,openshift-storage,rook-ceph-osd-2,registry.redhat.io/rhceph/rhceph-6-rhel9@sha256:c71ef5364d03d3335d5f868e1b720b9a0dcc205e80a44e729d66f645abf2a6a8,2024-04-16T20:00:03.700266981Z
salsa-cluster,csi-driver-nfs,csi-nfs-controller,registry.k8s.io/sig-storage/csi-provisioner:v4.0.0,2024-01-05T18:04:55.798421297Z
salsa-cluster,csi-driver-nfs,csi-nfs-controller,registry.k8s.io/sig-storage/csi-snapshotter:v6.3.3,2023-12-26T18:32:17.065192210Z
salsa-cluster,csi-driver-nfs,csi-nfs-controller,registry.k8s.io/sig-storage/livenessprobe:v2.12.0,2024-01-10T12:24:50.960699370Z
salsa-cluster,csi-driver-nfs,csi-nfs-controller,registry.k8s.io/sig-storage/nfsplugin:v4.7.0,2024-05-06T10:22:28.728794350Z
salsa-cluster,csi-driver-nfs,csi-nfs-node,registry.k8s.io/sig-storage/livenessprobe:v2.12.0,2024-01-10T12:24:50.960699370Z
salsa-cluster,csi-driver-nfs,csi-nfs-node,registry.k8s.io/sig-storage/nfsplugin:v4.7.0,2024-05-06T10:22:28.728794350Z
salsa-cluster,csi-driver-nfs,csi-nfs-node,registry.k8s.io/sig-storage/csi-node-driver-registrar:v2.10.0,2024-01-05T09:13:33.730727993Z
salsa-cluster,openshift-operators,devworkspace-controller-manager,registry.redhat.io/openshift4/ose-kube-rbac-proxy@sha256:76d5672691cdae228592a21accdbd68807276ca4102f047e5da54cb4c87e8a40,2024-05-09T21:03:53.443348499Z
salsa-cluster,openshift-cnv,virt-handler,registry.redhat.io/container-native-virtualization/virt-handler-rhel9@sha256:f32329fdbf3baee0dede5805ec4a30dea6d69c0579e65ed27804bb7e29cfe063,2024-05-06T20:39:02.821007092Z
salsa-cluster,openshift-cnv,kubevirt-console-plugin,registry.redhat.io/container-native-virtualization/kubevirt-console-plugin-rhel9@sha256:55099d6f95757674101aa8eaf8e124a9ba8e659b2051e12eb316dba1d28d0ed4,2024-05-09T07:24:26.125907253Z
salsa-cluster,openshift-cnv,kubemacpool-mac-controller-manager,registry.redhat.io/openshift4/ose-kube-rbac-proxy@sha256:b8160e1bebee2b28e99f22f350967c97c7665b355d6afba6ca5a48b837a0cf8c,2024-04-25T04:20:37.734979677Z
salsa-cluster,openshift-cnv,kubemacpool-mac-controller-manager,registry.redhat.io/container-native-virtualization/kubemacpool-rhel9@sha256:21139ce9b582392d85193b2a0d82e19428fb65d2d9e7c8cef6ce8d64bffc3230,2024-04-18T02:45:45.590144969Z
salsa-cluster,openshift-cnv,ssp-operator,registry.redhat.io/container-native-virtualization/kubevirt-ssp-operator-rhel9@sha256:5316fdef51d7c405c96781a4ed05ca1bc0a02baff16b4d8044129896beadb7ec,2024-05-08T12:49:26.713267056Z
salsa-cluster,openshift-terminal,workspaced5a1d252461d41f3,registry.redhat.io/web-terminal/web-terminal-exec-rhel8@sha256:3ad522b112795b8dd6c973938a427690ea9d0510ecbc94967268976b952089f1,2024-03-27T20:50:10.979671827Z
salsa-cluster,openshift-terminal,workspaced5a1d252461d41f3,registry.redhat.io/web-terminal/web-terminal-tooling-rhel8@sha256:5c74956aa4bf4c05efa299710d1b781ee264b511e22e1d27ca6a214ad4cebaf2,2024-03-20T21:07:28.867817556Z
salsa-cluster,openshift-terminal,workspace9ce2b5f3fef847d5,registry.redhat.io/web-terminal/web-terminal-exec-rhel8@sha256:3ad522b112795b8dd6c973938a427690ea9d0510ecbc94967268976b952089f1,2024-03-27T20:50:10.979671827Z
salsa-cluster,openshift-terminal,workspace9ce2b5f3fef847d5,registry.redhat.io/web-terminal/web-terminal-tooling-rhel8@sha256:5c74956aa4bf4c05efa299710d1b781ee264b511e22e1d27ca6a214ad4cebaf2,2024-03-20T21:07:28.867817556Z
salsa-cluster,openshift-cnv,hyperconverged-cluster-cli-download,registry.redhat.io/container-native-virtualization/virt-artifacts-server-rhel9@sha256:6467058ff9130e492f2b4da39272b944870583b0a1c9d3aa3c4a68dffbb0734e,2024-05-06T20:42:09.883558478Z
salsa-cluster,openshift-operators,web-terminal-controller,registry.redhat.io/web-terminal/web-terminal-rhel8-operator@sha256:cd62ad78d72c86b9980257bc0cdc393b2843f4ab93ddae91de6b7c900fda7e3d,2024-03-27T20:58:00.593290864Z
salsa-cluster,demo-hybrid,virt-launcher-wordpress-be-k7rv6,registry.redhat.io/container-native-virtualization/virt-launcher-rhel9@sha256:9dc92790701fb9dfed27d3246c592504d7a9aafa1c9cc8c4c9eee126d132539f,2024-05-06T20:40:00.681766599Z
