"Cluster Name", "Namespace", "Deployment", "Image", "Image Created"
salsa-cluster,openshift-storage,noobaa-endpoint,registry.redhat.io/odf4/mcg-core-rhel9@sha256:d526f923dc2875d7ee2273176f8890fe3da98b7ed0657ac3f33f1d7ca5ad066b,2024-06-14T15:40:23.948380079Z
salsa-cluster,sonarqube-vulnerable,sonarqube,docker.io/library/sonarqube:8.2-community,2020-04-24T00:19:12.031245017Z
salsa-cluster,openshift-storage,noobaa-core,registry.redhat.io/odf4/mcg-core-rhel9@sha256:d526f923dc2875d7ee2273176f8890fe3da98b7ed0657ac3f33f1d7ca5ad066b,2024-06-14T15:40:23.948380079Z
salsa-cluster,openshift-storage,rook-ceph-exporter-rhsvc3.redhat.com,registry.redhat.io/rhceph/rhceph-6-rhel9@sha256:c71ef5364d03d3335d5f868e1b720b9a0dcc205e80a44e729d66f645abf2a6a8,2024-04-16T20:00:03.700266981Z
salsa-cluster,openshift-storage,rook-ceph-mon-b,registry.redhat.io/rhceph/rhceph-6-rhel9@sha256:c71ef5364d03d3335d5f868e1b720b9a0dcc205e80a44e729d66f645abf2a6a8,2024-04-16T20:00:03.700266981Z
salsa-cluster,openshift-storage,rook-ceph-exporter-rhsvc1.redhat.com,registry.redhat.io/rhceph/rhceph-6-rhel9@sha256:c71ef5364d03d3335d5f868e1b720b9a0dcc205e80a44e729d66f645abf2a6a8,2024-04-16T20:00:03.700266981Z
salsa-cluster,openshift-storage,rook-ceph-mon-a,registry.redhat.io/rhceph/rhceph-6-rhel9@sha256:c71ef5364d03d3335d5f868e1b720b9a0dcc205e80a44e729d66f645abf2a6a8,2024-04-16T20:00:03.700266981Z
salsa-cluster,openshift-storage,rook-ceph-exporter-rhsvc2.redhat.com,registry.redhat.io/rhceph/rhceph-6-rhel9@sha256:c71ef5364d03d3335d5f868e1b720b9a0dcc205e80a44e729d66f645abf2a6a8,2024-04-16T20:00:03.700266981Z
salsa-cluster,openshift-storage,rook-ceph-mon-c,registry.redhat.io/rhceph/rhceph-6-rhel9@sha256:c71ef5364d03d3335d5f868e1b720b9a0dcc205e80a44e729d66f645abf2a6a8,2024-04-16T20:00:03.700266981Z
salsa-cluster,openshift-storage,rook-ceph-rgw-ocs-storagecluster-cephobjectstore-a,registry.redhat.io/rhceph/rhceph-6-rhel9@sha256:c71ef5364d03d3335d5f868e1b720b9a0dcc205e80a44e729d66f645abf2a6a8,2024-04-16T20:00:03.700266981Z
salsa-cluster,openshift-storage,rook-ceph-mgr-a,registry.redhat.io/rhceph/rhceph-6-rhel9@sha256:c71ef5364d03d3335d5f868e1b720b9a0dcc205e80a44e729d66f645abf2a6a8,2024-04-16T20:00:03.700266981Z
salsa-cluster,openshift-storage,rook-ceph-mgr-a,registry.redhat.io/odf4/rook-ceph-rhel9-operator@sha256:81c3a2dec21a8cd727f136f359b761cfcd6cab1e338899d1d5ae1fb7c521bd62,2024-06-14T16:10:37.988248785Z
salsa-cluster,openshift-storage,rook-ceph-mgr-b,registry.redhat.io/rhceph/rhceph-6-rhel9@sha256:c71ef5364d03d3335d5f868e1b720b9a0dcc205e80a44e729d66f645abf2a6a8,2024-04-16T20:00:03.700266981Z
salsa-cluster,openshift-storage,rook-ceph-mgr-b,registry.redhat.io/odf4/rook-ceph-rhel9-operator@sha256:81c3a2dec21a8cd727f136f359b761cfcd6cab1e338899d1d5ae1fb7c521bd62,2024-06-14T16:10:37.988248785Z
salsa-cluster,openshift-storage,rook-ceph-mds-ocs-storagecluster-cephfilesystem-b,registry.redhat.io/rhceph/rhceph-6-rhel9@sha256:c71ef5364d03d3335d5f868e1b720b9a0dcc205e80a44e729d66f645abf2a6a8,2024-04-16T20:00:03.700266981Z
